event_id,fire_year,year,fitted_nbr
CA3520911991019960520,1996,1998,-0.05275882216405926
CA3791311981819960814,1996,1998,-0.09610735975795852
CA3344711729819970904,1997,1998,-0.03136694775941279
CA3471012049419970927,1997,1998,-0.014766606622154212
CA3442211887219981018,1998,1998,-0.1167815660566073
CA3688212081319980710,1998,1998,0.08688331309667834
CA3975712171519990823,1999,1998,-0.1336404949898511
CA3784511998419990823,1999,1998,-0.1995591626706468
CA3625712072920000803,2000,1998,-0.16845926849080275
CA3771612024820000702,2000,1998,-0.08583894366544015
CA3777211886020010702,2001,1998,-0.09308426376042303
CA3396111727920010623,2001,1998,-0.027883112527035823
CA4146112251620020713,2002,1998,-0.1269567320965933
CA3474011878120020618,2002,1998,-0.08702152912540903
CA3500511465220030716,2003,1998,-0.1297844432508722
CA3976112013320030720,2003,1998,-0.004288837950746469
CA3796411972720041015,2004,1998,-0.1227102542326119
CA3376011738120040503,2004,1998,-0.028539549322368025
CA3937412284420050809,2005,1998,-0.20363421242932697
CA3508611531720050622,2005,1998,-0.02178926554377219
CA3605012069320060722,2006,1998,-0.10860651645785052
CA3528111983720060711,2006,1998,-0.0455511731229893
CA3338411718020071022,2007,1998,-0.12256822258812122
CA3757311966320071029,2007,1998,-0.2449676261835857
CA3976512124820080622,2008,1998,-0.3025581028058177
CA3391911775320081115,2008,1998,-0.09919459321104403
CA4156612316620090821,2009,1998,-0.20608595749228675
CA3419711786020090825,2009,1998,-0.18215570608281137
CA3334311736220100713,2010,1998,0.008751396103511873
CA3790211905120100726,2010,1998,-0.022956874978880215
CA3309811647820111001,2011,1998,-0.11359969340883545
CA3713411828320110913,2011,1998,-0.027830073854215744
CA3355611691120120814,2012,1998,-0.08668744518307109
CA3260811624320120517,2012,1998,-0.026255641950489083
CA4018812160120130501,2013,1998,-0.21724568262603075
CA3881312282620131122,2013,1998,-0.1617778569969802
CA3976812365020140730,2014,1998,-0.3273992280806189
CA4122712136220140731,2014,1998,-0.18080753677429612
CA3745411858420150206,2015,1998,-0.033268212006503595
CA4016812363920150730,2015,1998,-0.2794617043685801
CA3779911892220160804,2016,1998,-0.08120616695450085
CA3436911855620160709,2016,1998,-0.15390370145348514
CA4145212338020170811,2017,1998,-0.3094924136558298
CA3589912026320170710,2017,1998,-0.1166795503195135
CA3906012314020180727,2018,1998,-0.19601969823425308
CA3511712010020180819,2018,1998,-0.015261355217192461
CA3892812226620190608,2019,1998,-0.13925463442505492
CA3433711905320191031,2019,1998,-0.08641354565561807
CA4185812335420200908,2020,1998,-0.2820284494940223
CA3375311768720201026,2020,1998,-0.0878427747448312
CA4156412340420210801,2021,1998,-0.2593178648272301
CA3658211879520210912,2021,1998,-0.22135334205015494
CA3633311865120220803,2022,1998,-0.1337801453846745
CA4090712359920220805,2022,1998,-0.3286433611717606
CA3389011707120230714,2023,1998,-0.05390444784170445
CA3806111999220230909,2023,1998,-0.17342257529115987
CA3589912013419840525,1984,1999,0.014054597914862391
CA3631411886919840821,1984,1999,-0.1949298158754428
CA4095612245219850718,1985,1999,-0.23601038345858238
